period,depo,part_no,group,demand,forecast,po_md,supply_ahm
2025-06,KRW,95419PST454,PSTN,137,153,148,129
2025-03,BDG,53476SPL181,SPLUG,104,113,113,98
2022-02,CRB,45486IMP118,IMPOR,142,137,130,97
2022-01,CRB,74054TIR961,TIRE,98,98,104,86
2022-01,KRW,87046COO621,COOL,28,31,31,22
2024-02,CRB,66979ECX157,EC,159,147,162,149
2024-09,CRB,79391RIM867,RIMWH,91,84,87,63
2022-02,KRW,41460CDK891,CDKGP,91,81,100,100
2025-04,BDG,77156STR746,STR,144,138,147,135
2024-10,KRW,15890ECX335,EC,38,40,37,31
2023-11,CRB,88048RSK980,RSKIT,30,30,30,21
2024-09,CRB,55071BAT378,BATT,28,32,32,24
2025-05,BDG,32829SPO813,SPOKE,35,40,42,33
2022-09,BDG,15136TBH943,TBHGP,133,162,146,141
2022-01,KRW,27828SHO105,SHOCK,109,101,99,99
2025-06,CRB,99810GMO820,GMO,268,254,290,234
2023-01,KRW,93546SPG677,SPGUI,123,98,115,94
2022-06,BDG,16871ACB747,ACB,81,91,84,63
2022-08,BDG,97776CRK126,CRKIT,99,112,122,90
2022-03,KRW,55001FLU671,FLUID,220,252,266,196
2024-10,CRB,88721ACG875,ACG,98,109,113,99
2023-05,BDG,42859SAO818,SAOIL,165,141,153,124
2025-09,CRB,27145SHO349,SHOCK,63,76,80,70
2023-06,KRW,83228MUF962,MUF,89,71,89,82
2025-09,KRW,86878RSK782,RSKIT,62,75,74,66
2022-11,KRW,98176RBR711,RBR,78,83,89,89
2023-06,CRB,25058DIS951,DISK,104,85,112,78
2025-01,BDG,13072SPL954,SPLUG,83,67,79,76
2022-04,CRB,34322BAT427,BATT,70,70,65,54
2022-01,BDG,73805BLD842,BLDRV,73,68,75,55
2025-04,BDG,13326RPI584,RPIST,132,116,143,115
2022-07,CRB,81282TBH742,TBHGP,45,41,47,44
2023-09,KRW,22618RIM211,RIMWH,59,62,59,46
2022-09,KRW,20707COO548,COOL,122,147,134,128
2024-08,CRB,66063COO860,COOL,62,71,76,73
2024-12,CRB,23090SPL157,SPLUG,65,59,70,70
2025-10,KRW,91923BLD414,BLDRV,76,92,100,91
2022-01,BDG,42456ACG993,ACG,154,185,184,141
2025-08,CRB,20908TIR488,TIRE,114,86,123,99
2024-05,BDG,24165CAB271,CABLE,59,50,59,59
2022-12,BDG,95819TIR617,TIRE1,70,80,82,78
2024-01,KRW,12874GST534,GST,36,30,32,27
2024-11,BDG,34234OSE966,OSEAL,102,111,107,84
2025-09,BDG,34302ELE268,ELECT,122,134,140,108
2022-02,KRW,94571CHA585,CHAIN,63,71,72,52
2025-02,CRB,15692ACG649,ACG,125,153,159,124
2022-09,BDG,38603BRA994,BRAKE,52,49,54,54
2025-05,CRB,35818RBR495,RBR,46,50,46,43
2022-09,KRW,47317ACG690,ACG,220,218,204,189
2025-11,KRW,57886CDK449,CDKGP,127,139,148,140
2022-12,BDG,74052PSK108,PSKIT,101,114,115,108
2022-02,BDG,51529AHM351,AHM,154,121,149,122
2022-10,CRB,54185BRA851,BRAKE,87,82,91,67
2025-10,BDG,29630RSK472,RSKIT,86,78,87,71
2022-04,CRB,75497BAT969,BATT,67,72,77,67
2022-02,BDG,36905SPO844,SPOKE,169,172,163,163
2022-08,CRB,90680CDK740,CDKGP,90,96,92,76
2024-07,KRW,57058IMP465,IMPOR,134,139,128,126
2025-06,KRW,73418CHA615,CHAIN,53,47,57,46
2023-09,BDG,11671EVC806,EVCH,165,191,172,171
2023-04,CRB,30064CHA309,CHAIN,85,81,85,62
2022-04,CRB,60256ELE522,ELECT,116,119,129,127
2024-01,BDG,92362GMO931,GMO,117,109,106,97
2023-05,CRB,97065SDX768,SD,82,76,80,72
2024-07,BDG,54005TB1638,TB1,149,146,163,146
2025-01,KRW,37764SAO268,SAOIL,94,79,98,83
2022-06,CRB,74513PSK715,PSKIT,94,70,86,69
2022-10,BDG,60223SAO993,SAOIL,116,127,130,111
2025-09,KRW,33209MUF812,MUF,108,111,119,99
2022-05,BDG,17657PST980,PSTN,30,36,35,30
2024-06,CRB,20373SPG960,SPGUI,132,129,125,93
2022-08,KRW,14257TIR352,TIRE1,88,72,84,67
2022-10,BDG,14184EVC235,EVCH,31,37,37,32
2024-08,CRB,86279RPI997,RPIST,100,111,109,85
2025-09,BDG,64685CDK954,CDKIT,88,71,89,69
2022-04,BDG,91242CDK766,CDKIT,138,154,151,111
2022-05,KRW,99414ACG672,ACG,245,230,232,200
2023-11,BDG,91287BRN419,BRNG,132,134,136,102
2023-07,CRB,50947SPO260,SPOKE,83,73,89,89
2025-10,CRB,15734IMP392,IMPOR,44,33,43,43
2022-04,BDG,63549CDK338,CDKGP,81,82,84,60
2022-05,BDG,98269BAT964,BATT,151,163,167,163
2022-10,CRB,43759MUF477,MUF,110,129,129,119
2023-03,CRB,93036RIM984,RIMWH,137,106,129,124
2023-01,BDG,96117TAS226,TAS,33,39,39,38
2025-02,KRW,33682BRA790,BRAKE,84,97,91,78
2025-02,BDG,60952ELE501,ELECT,31,29,32,22
2025-06,CRB,55149VAL319,VALVE,75,59,77,61
2024-09,BDG,20414PSK924,PSKIT,120,146,138,97
2024-11,BDG,27442COO564,COOL,87,80,78,74
2024-05,BDG,81210OIL773,OIL,191,144,183,129
2025-03,CRB,65901CHA626,CHAIN,20,17,21,19
2024-10,BDG,70793TAS938,TAS,79,63,78,58
2023-02,BDG,86546VAL707,VALVE,155,165,174,171
2023-06,KRW,81780GMO801,GMO,111,131,137,126
2025-11,BDG,67113CDK872,CDKIT,171,140,169,138
2022-01,KRW,57476TAS699,TAS,22,25,23,20
2023-06,KRW,26315CAB198,CABLE,103,77,109,91
2025-01,BDG,40692SAO934,SAOIL,68,56,63,51
2023-06,CRB,33179CDK107,CDKGP,167,202,210,184
2024-08,CRB,76960SDX579,SD,34,34,31,27
2023-10,BDG,19706SPO644,SPOKE,54,47,51,42
2025-09,CRB,79753TIR650,TIRE,134,140,131,116
2024-12,KRW,78116ECX372,EC,179,185,197,168
2025-01,KRW,18437RPI900,RPIST,40,43,41,35
2022-02,KRW,85154PLA360,PLAST,91,69,94,65
2024-04,KRW,40040CRK396,CRKIT,162,183,194,155
2024-03,BDG,15083PST582,PSTN,31,25,30,29
2023-12,KRW,30262TBH938,TBHGP,24,26,25,19
2022-01,BDG,50693SPL435,SPLUG,97,115,120,102
2023-11,CRB,52376SAO348,SAOIL,45,51,48,41
2023-09,BDG,84810ECX697,EC,32,33,30,30
2022-06,KRW,56184FLU356,FLUID,223,199,201,187
2024-09,BDG,85901RPI243,RPIST,81,72,87,76
2023-03,KRW,53793COO434,COOL,72,74,75,57
2023-02,KRW,68057CRK328,CRKIT,130,124,125,122
2023-05,BDG,75094CDK239,CDKGP,171,205,220,154
2025-02,CRB,53796SPL273,SPLUG,88,72,84,70
2025-02,KRW,39773GST525,GST,148,114,150,149
2022-08,KRW,16925COO189,COOL,71,68,69,60
2023-05,KRW,81743TBH526,TBHGP,97,118,129,111
2022-05,BDG,27866ELE841,ELECT,22,24,24,23
2022-01,KRW,88404CDK582,CDKIT,163,191,198,184
2022-07,KRW,36189EVC766,EVCH,18,19,20,18
2024-01,BDG,54583TBH265,TBHGP,133,158,170,161
2025-09,BDG,58623BRN582,BRNG,81,79,86,81
2024-02,BDG,31878CDK384,CDKGP,171,137,163,163
2023-10,KRW,15639ELE722,ELECT,141,140,144,122
2024-05,CRB,92221TBH519,TBHGP,159,170,157,150
2022-08,KRW,80705RIM212,RIMWH,106,89,107,98
2022-06,BDG,37044BRA809,BRAKE,93,86,92,66
2023-09,KRW,18061SPO119,SPOKE,63,63,66,58
2025-05,BDG,34635CAB505,CABLE,20,22,23,23
2023-08,KRW,20981SPG181,SPGUI,57,59,63,53
2024-05,KRW,92083ELE793,ELECT,71,61,76,64
2022-11,CRB,11473ELE132,ELECT,82,87,83,66
2022-06,CRB,22266OIL718,OIL,198,212,193,147
2022-07,BDG,24230RSK835,RSKIT,133,131,140,123
2024-11,KRW,40606CDK283,CDKIT,48,36,47,38
2025-06,KRW,41466SAO350,SAOIL,107,118,117,113
2023-07,BDG,16975OIL686,OIL,161,147,161,132
2025-08,KRW,95941SDX390,SD,160,168,182,159
2022-12,KRW,16846SHO829,SHOCK,32,27,31,25
2025-05,BDG,93900GST558,GST,104,128,130,113
2022-05,KRW,94467CAB145,CABLE,103,78,106,99
2025-05,KRW,68853SPL966,SPLUR,41,44,44,35
2023-05,KRW,10441TIR204,TIRE1,130,102,126,121
2023-03,BDG,61935BRN485,BRNG,79,95,100,93
2024-04,CRB,28729TIR856,TIRE1,134,103,146,108
2022-05,BDG,86511STR859,STR,68,55,71,63
2025-04,KRW,34261AHM999,AHM,96,116,105,84
2023-05,CRB,62527BAT735,BATT,55,43,59,56
2022-12,CRB,55883SHO514,SHOCK,83,81,81,69
2025-05,BDG,85949FLU173,FLUID,144,123,157,119
2022-12,KRW,53341ECX702,EC,103,109,100,99
2024-02,CRB,29301COO969,COOL,38,33,34,29
2022-06,KRW,96861TB1862,TB1,73,64,78,77
2023-07,CRB,90093SPO701,SPOKE,77,65,83,58
2024-05,CRB,60294GST812,GST,150,166,153,132
2024-02,CRB,51448BRN934,BRNG,150,166,160,159
2024-01,KRW,60535SHO853,SHOCK,19,22,20,16
2025-03,KRW,26283TAS538,TAS,73,86,87,61
2022-02,CRB,13992AHM824,AHM,59,55,64,61
2023-02,BDG,22234SAO779,SAOIL,40,31,37,35
2025-10,KRW,88289GST614,GST,168,169,183,131
2022-05,CRB,44416TB1816,TB1,54,59,57,44
2022-02,KRW,76948DIS503,DISK,120,144,151,120
2024-10,CRB,40766TB1130,TB1,131,120,136,111
2023-06,BDG,20299VAL762,VALVE,107,104,107,98
2025-05,KRW,79577VAL653,VALVE,63,61,66,58
2022-10,BDG,64765CDK167,CDKGP,98,76,100,99
2022-03,CRB,70440TAS785,TAS,83,92,83,72
2022-05,BDG,74783BAT916,BATT,91,89,93,81
2022-05,KRW,16373EVC887,EVCH,26,22,25,25
2025-01,BDG,23203COO102,COOL,55,49,56,54
2025-06,CRB,35038BAT470,BATT,115,93,108,90
2022-01,BDG,56914TIR411,TIRE1,152,116,140,100
2025-07,CRB,38306PLA690,PLAST,75,60,77,76
2022-06,BDG,96176BAT770,BATT,117,142,142,142
2024-09,CRB,82702COO863,COOL,128,124,121,85
2024-11,CRB,91989STR109,STR,132,147,147,142
2022-08,KRW,60977ECX593,EC,56,57,58,48
2024-02,KRW,48354RIM804,RIMWH,104,100,107,106
2025-04,CRB,10704TIR586,TIRE1,166,142,166,156
2023-10,KRW,98035SPG993,SPGUI,49,50,50,40
2024-01,KRW,47099SPO358,SPOKE,23,27,24,19
2024-06,BDG,42014CCK169,CCKIT,125,147,132,132
2023-02,BDG,91518VAL452,VALVE,73,62,65,47
2022-05,BDG,71873TBH959,TBHGP,154,135,152,135
2025-05,KRW,87471OIL161,OIL,169,189,180,167
2024-03,KRW,72599COO821,COOL,34,27,32,31
2024-05,BDG,70863PST704,PSTN,31,27,31,22
2023-09,BDG,52234PST452,PSTN,29,28,27,22
2025-03,KRW,63951TBH892,TBHGP,173,163,186,154
2024-06,KRW,84484GST633,GST,51,42,46,39
2025-01,KRW,85877BAT143,BATT,101,92,96,82
2023-02,BDG,31895ELE263,ELECT,57,61,58,56
2023-03,KRW,98291TAS715,TAS,153,169,180,145
2025-08,CRB,49466OSE107,OSEAL,99,90,102,86
2023-06,CRB,92299DIS696,DISK,178,166,160,151
2022-05,CRB,23911BAT986,BATT,81,89,84,65
2023-11,KRW,92988SHO639,SHOCK,24,20,21,14
2024-04,BDG,14825BRA203,BRAKE,132,114,131,131
2024-03,KRW,17851SPL160,SPLUR,155,165,180,136
2023-07,CRB,55347STR202,STR,152,133,162,162
2023-11,CRB,86180BAT269,BATT,83,99,93,87
2023-07,CRB,36499SPG648,SPGUI,114,131,134,106
2025-03,KRW,79300TB1795,TB1,32,26,32,30
2024-01,KRW,79493CDK852,CDKGP,113,135,123,111
2024-07,CRB,61095TB1870,TB1,158,183,191,185
2022-08,KRW,47947VAL432,VALVE,68,81,87,65
2025-04,BDG,16411RSK197,RSKIT,63,55,57,42
2024-10,BDG,50278SAO452,SAOIL,177,194,176,145
2022-01,BDG,41047AHM407,AHM,62,46,64,45
2023-03,BDG,43688SDX698,SD,129,112,134,117
2022-05,KRW,58686MUF546,MUF,122,123,117,112
2025-03,KRW,14815SPL381,SPLUG,93,81,90,70
2025-05,BDG,33878SHO177,SHOCK,24,20,22,16
2023-03,CRB,39377CDK527,CDKIT,59,67,61,57
2022-08,KRW,65499TIR589,TIRE,145,154,146,108
2025-07,CRB,87707SAO646,SAOIL,125,110,133,122
2024-09,CRB,34229BAT252,BATT,54,57,51,48
2023-10,CRB,78511OIL925,OIL,164,174,157,153
2024-06,KRW,96631FLU957,FLUID,198,155,206,200
2025-01,KRW,43466ECX802,EC,122,128,140,109
2022-11,KRW,71146BLD154,BLDRV,61,55,56,44
2025-11,CRB,43244COO492,COOL,152,128,153,138
2024-01,KRW,40892SPL942,SPLUG,166,204,216,216
2023-04,KRW,84051PLA539,PLAST,76,62,81,65
2024-08,CRB,22467FLU596,FLUID,245,219,265,252
2022-03,BDG,23222TIR850,TIRE1,170,188,173,134
2024-03,BDG,23410IMP994,IMPOR,149,142,152,145
2025-09,KRW,72534TAS883,TAS,158,168,154,136
2024-05,CRB,80964VAL463,VALVE,171,170,182,168
2023-03,KRW,42290PST406,PSTN,87,96,97,83
2025-05,KRW,10574BRA989,BRAKE,101,118,124,93
2024-05,KRW,43907AHM529,AHM,87,107,99,76
2022-11,BDG,91101MUF319,MUF,122,150,145,140
2023-01,BDG,54628BLD858,BLDRV,47,37,43,33
2023-11,KRW,81921ECX814,EC,145,146,154,154
2024-05,KRW,80820BRN962,BRNG3,59,48,60,50
2023-04,CRB,61489OIL127,OIL,103,114,107,96
2024-11,CRB,48750RPI111,RPIST,124,96,119,118
2023-10,KRW,84401FLU689,FLUID,249,199,263,254
2023-01,BDG,96393COO514,COOL,62,50,59,46
2023-07,BDG,59249PSK182,PSKIT,121,123,133,126
2025-04,BDG,26238SDX760,SD,127,151,153,134
2024-05,BDG,54960ACB612,ACB,153,182,186,162
2022-08,KRW,88276SPO920,SPOKE,19,20,21,20
2024-10,BDG,24452SPL729,SPLUG,121,129,122,103
2023-02,BDG,74196TBH694,TBHGP,119,109,128,114
2022-07,CRB,56811TIR296,TIRE,120,124,112,105
2023-06,KRW,13931OIL915,OIL,197,189,208,155
2025-08,KRW,71140SPL165,SPLUR,38,41,38,35
2025-05,BDG,97321SPL282,SPLUR,61,47,62,56
2024-03,CRB,61862TBH775,TBHGP,109,99,106,85
2022-06,BDG,97849IMP318,IMPOR,70,65,73,73
2024-07,CRB,81037SPL703,SPLUG,115,91,105,101
2025-10,BDG,56744TIR244,TIRE1,167,180,188,165
2023-03,KRW,10837IMP943,IMPOR,21,16,22,20
2022-05,KRW,66158COO269,COOL,65,52,63,61
2022-10,CRB,33159CAB440,CABLE,50,56,55,51
2024-01,CRB,35420SDX626,SD,81,100,100,80
2025-07,KRW,95182TAS969,TAS,144,162,166,127
2025-05,KRW,19189ACG300,ACG,213,218,239,170
2023-11,CRB,38282RBR167,RBR,136,158,160,148
2023-02,KRW,70000BRN596,BRNG,119,106,122,120
2023-08,BDG,39701EVC702,EVCH,37,38,34,28
2022-08,CRB,91447PST950,PSTN,36,31,32,27
2024-09,KRW,44790FLU536,FLUID,98,115,110,88
2022-03,BDG,10282TB1348,TB1,145,166,153,122
2022-01,KRW,16652OSE905,OSEAL,125,101,124,113
2022-05,BDG,75142BRN437,BRNG,120,95,126,101
2024-06,KRW,49539ACG201,ACG,163,142,169,155
2024-08,BDG,26883COO864,COOL,90,101,104,100
2024-10,KRW,17063PSK265,PSKIT,116,92,111,99
2025-08,CRB,23434ECX971,EC,104,94,104,74
2024-07,BDG,52084SHO981,SHOCK,97,83,93,87
2024-08,CRB,20545SDX886,SD,131,100,142,137
2023-02,KRW,95045SPO132,SPOKE,84,84,87,87
2024-04,CRB,70569PST997,PSTN,140,138,139,128
2023-05,BDG,47739STR681,STR,92,104,93,93
2022-12,BDG,32999SPL832,SPLUR,81,89,91,69
2022-05,CRB,31231DIS674,DISK,62,60,59,49
2022-08,KRW,11117BLD851,BLDRV,138,111,144,110
2023-03,KRW,62692MUF468,MUF,81,92,92,81
2023-05,CRB,15768PST549,PSTN,69,69,69,68
2024-03,BDG,15871TB1125,TB1,133,122,129,100
2023-02,BDG,32876SPL555,SPLUR,52,60,62,61
2024-06,KRW,80154GMO387,GMO,86,103,99,71
2023-07,CRB,60700SPO273,SPOKE,44,49,51,51
2024-06,BDG,78971ELE718,ELECT,152,156,141,119
2023-07,BDG,44696CDK623,CDKGP,86,84,87,62
2023-04,BDG,73161RBR136,RBR,159,144,166,155
2023-06,KRW,78587RPI641,RPIST,57,60,63,60
2023-02,CRB,67062BRN523,BRNG3,109,123,119,86
2025-05,CRB,13427BAT834,BATT,87,82,88,79
2025-10,BDG,55180MUF340,MUF,160,179,192,185
2024-06,BDG,44944FLU302,FLUID,268,316,303,222
2025-10,BDG,34114AHM923,AHM,88,81,83,81
2025-06,CRB,78404OIL396,OIL,179,196,208,152
2023-10,CRB,75165RBR106,RBR,124,119,128,106
2022-02,KRW,88617SPO514,SPOKE,145,130,151,129
2022-11,CRB,49033OIL196,OIL,252,310,331,254
2023-08,KRW,85730PLA448,PLAST,18,21,21,18
2025-06,KRW,50940TIR903,TIRE1,79,76,73,64
2022-04,BDG,92424CDK363,CDKIT,74,57,79,77
2025-11,KRW,48984CCK374,CCKIT,95,117,119,95
2025-03,BDG,59281CRK129,CRKIT,91,111,109,80
2023-09,CRB,47837TIR202,TIRE1,137,165,158,128
2025-02,BDG,34757CCK867,CCKIT,111,104,117,96
2024-02,CRB,56751TIR849,TIRE1,74,82,80,57
2024-02,CRB,82291TBH491,TBHGP,81,66,80,68
2022-03,CRB,87877CAB195,CABLE,34,37,34,25
2022-03,CRB,75947VAL383,VALVE,94,103,102,91
2025-05,CRB,62353RIM685,RIMWH,146,148,152,139
2022-06,KRW,80697BRA990,BRAKE,177,215,217,189
2024-09,CRB,12858SPG857,SPGUI,29,34,31,21
2024-12,CRB,32440SAO182,SAOIL,75,72,71,62
2024-06,BDG,33584RPI890,RPIST,41,33,38,33
2024-05,KRW,95116PSK567,PSKIT,84,65,76,74
2023-09,CRB,52128ACB851,ACB,206,244,263,229
2025-03,BDG,53315ECX265,EC,86,65,84,75
2024-09,KRW,66603RSK434,RSKIT,55,52,49,45
2025-11,KRW,94556TB1310,TB1,85,100,93,89
2023-02,KRW,61514BLD646,BLDRV,63,60,58,52
2024-11,KRW,23119SAO721,SAOIL,172,151,170,121
2022-09,CRB,41210AHM632,AHM,82,100,90,89
2022-03,BDG,22299TB1721,TB1,158,121,169,139
2022-08,KRW,50256TIR164,TIRE1,172,187,188,158
2025-08,KRW,48110CCK821,CCKIT,110,124,122,89
2023-11,BDG,21263SDN766,SDN,122,146,137,116
2024-03,CRB,27678MUF749,MUF,48,56,59,57
2025-11,KRW,60968BAT505,BATT,80,71,73,66
2023-08,KRW,68418OIL795,OIL,220,252,257,217
2024-05,BDG,25180TB1780,TB1,63,77,77,57
2022-01,KRW,38506FLU849,FLUID,70,53,74,71
2025-09,CRB,26073RBR679,RBR,80,84,81,72
2022-08,BDG,82434SPO641,SPOKE,108,124,124,104
2024-01,BDG,21798PLA225,PLAST,75,83,86,81
2022-03,BDG,18499SDX601,SD,35,39,36,27
2023-12,CRB,36149SAO146,SAOIL,54,62,60,47
2025-05,BDG,79638SDX754,SD,47,43,45,40
2025-04,BDG,17232BRN855,BRNG3,150,161,153,153
2024-07,CRB,28460RIM325,RIMWH,41,38,41,41
2025-06,CRB,20457TAS928,TAS,137,123,135,105
2023-06,KRW,90769AHM690,AHM,37,42,44,43
2023-09,KRW,37885ECX217,EC,80,68,85,68
2022-07,KRW,22733CDK116,CDKGP,30,29,27,22
2023-03,CRB,31569ELE700,ELECT,40,44,43,38
2022-03,BDG,32618BRA151,BRAKE,24,20,23,21
2024-08,KRW,91190RPI826,RPIST,24,18,22,21
2023-04,KRW,79967BRN521,BRNG3,60,64,64,63
2025-06,KRW,18423COO286,COOL,67,83,82,58
2024-01,KRW,23386TIR407,TIRE1,89,107,111,78
2022-02,KRW,97034RBR122,RBR,102,122,126,95
2023-01,BDG,20322ACG417,ACG,183,138,175,167
2023-12,BDG,60917ACG334,ACG,171,181,187,141
2023-12,BDG,85715OSE464,OSEAL,106,126,123,117
2022-10,KRW,20674FLU494,FLUID,289,353,330,319
2022-05,CRB,48989TIR106,TIRE,139,153,163,150
2024-04,KRW,40775AHM378,AHM,76,89,90,77
2024-01,KRW,68771ACG959,ACG,266,207,284,272
2023-02,BDG,66146CCK395,CCKIT,122,97,115,85
2024-11,KRW,87250CAB533,CABLE,90,90,82,57
2023-08,BDG,72245AHM285,AHM,89,69,80,59
2024-07,CRB,36691MUF815,MUF,70,53,71,50
2023-04,KRW,52987SHO235,SHOCK,155,164,174,173
2022-05,BDG,53985PLA806,PLAST,151,138,146,133
2025-07,KRW,76715RPI216,RPIST,119,105,125,125
2025-09,BDG,95048AHM222,AHM,44,54,56,46
2025-01,CRB,51868SPL173,SPLUG,54,62,61,56
2023-10,KRW,11803AHM760,AHM,104,123,127,124
2023-02,BDG,51193RPI486,RPIST,118,89,124,104
2024-12,CRB,28263AHM951,AHM,141,153,148,138
2025-10,CRB,11761ACG762,ACG,168,171,163,115
2023-03,CRB,65683ACG792,ACG,267,249,267,208
2025-04,BDG,29136TB1563,TB1,107,127,127,108
2024-09,BDG,15955ECX449,EC,51,57,57,46
2024-02,KRW,20752SDN564,SDN,139,112,128,127
2025-04,CRB,80200SHO784,SHOCK,19,18,18,15
2022-03,KRW,68817VAL618,VALVE,39,31,42,35
2023-03,CRB,64923GST926,GST,62,63,61,60
2023-03,BDG,41950MUF869,MUF,125,144,136,130
2025-08,CRB,97032MUF356,MUF,59,62,58,50
2023-08,CRB,35881RSK333,RSKIT,52,51,56,50
2024-10,BDG,19101GST275,GST,72,55,71,58
2022-06,CRB,76988RBR489,RBR,67,66,67,66
2022-08,BDG,37273CRK514,CRKIT,39,45,45,37
2024-01,BDG,73512BLD684,BLDRV,69,76,71,60
2022-06,KRW,20413FLU117,FLUID,184,203,206,206
2024-05,KRW,45550RIM288,RIMWH,107,116,115,99
2024-05,KRW,14328SDN878,SDN,131,157,144,139
2023-02,CRB,53490GMO943,GMO,128,133,120,108
2025-07,KRW,12692IMP647,IMPOR,93,109,114,114
2025-09,CRB,58793ACB381,ACB,115,127,138,126
2024-02,BDG,84128OIL143,OIL,285,270,260,198
2025-06,BDG,46780ECX659,EC,109,134,139,116
2022-05,KRW,13104RBR466,RBR,89,82,87,83
2024-05,BDG,10609RPI907,RPIST,134,137,125,117
2025-08,KRW,31762SPG543,SPGUI,145,139,141,103
2024-03,CRB,34125CCK178,CCKIT,21,24,26,21
2023-07,CRB,86981VAL147,VALVE,104,122,122,95
2025-08,BDG,71750SAO383,SAOIL,40,42,41,31
2023-09,KRW,97678BRA427,BRAKE,111,111,114,91
2023-10,KRW,77118SPL600,SPLUR,106,124,123,91
2023-09,CRB,26218RPI400,RPIST,78,95,86,71
2023-06,KRW,71682OIL132,OIL,296,346,320,320
2022-02,CRB,84790BLD142,BLDRV,98,86,95,71
2023-09,CRB,83195BLD736,BLDRV,162,171,185,159
2025-03,KRW,16059GMO822,GMO,283,307,309,299
2025-02,BDG,82440VAL337,VALVE,43,39,46,37
2024-01,KRW,40883SAO360,SAOIL,79,68,83,71
2022-07,BDG,72064RBR858,RBR,51,43,46,35
2025-05,KRW,47822MUF258,MUF,153,187,205,155
2024-10,CRB,32447EVC336,EVCH,45,37,49,38
2022-10,BDG,48538BAT503,BATT,27,25,25,19
2024-12,CRB,33057BLD843,BLDRV,122,100,120,120
2022-04,CRB,73306SPG856,SPGUI,29,27,29,26
2024-01,CRB,49678ACB341,ACB,176,194,196,145
2022-05,BDG,94895CRK946,CRKIT,45,35,42,34
2022-02,CRB,68837BAT130,BATT,53,61,56,53
2025-03,KRW,14928TB1252,TB1,132,147,154,123
2025-02,CRB,23035DIS784,DISK,50,49,50,44
2023-10,BDG,41689RSK675,RSKIT,139,129,134,104
2023-09,CRB,33156BRN549,BRNG,24,24,24,17
2022-04,CRB,98207SDN246,SDN,91,98,101,71
2025-11,KRW,59191RBR684,RBR,109,96,106,106
2023-04,CRB,72468PST431,PSTN,79,76,72,57
2023-02,CRB,35203PST487,PSTN,97,94,89,76
2024-07,BDG,83143ECX409,EC,47,50,51,49
2024-09,CRB,37344CDK334,CDKIT,93,112,108,90
2023-03,KRW,24302ACG905,ACG,144,108,140,116
2023-10,KRW,81589PST706,PSTN,71,69,75,61
2023-04,CRB,24116CCK689,CCKIT,93,99,89,75
2022-01,CRB,89886BLD589,BLDRV,96,90,87,87
2023-11,BDG,86250CHA853,CHAIN,65,67,66,59
2023-05,KRW,63546BRN339,BRNG,84,63,85,79
2025-09,CRB,19746DIS616,DISK,113,86,116,100
2023-11,BDG,83466SPL452,SPLUR,100,121,110,79
2024-08,CRB,51301DIS821,DISK,39,39,35,29
2025-05,BDG,62266SPL926,SPLUR,29,35,32,27
2023-11,CRB,27021BRA860,BRAKE,123,135,143,107
2023-09,CRB,34437RIM156,RIMWH,126,143,134,114
2023-11,BDG,77000MUF580,MUF,24,27,28,26
2024-05,CRB,40169CCK213,CCKIT,20,18,20,14
2024-02,BDG,26973PST469,PSTN,125,126,136,136
2024-01,BDG,33573VAL210,VALVE,95,117,122,100
2022-04,BDG,14023RBR933,RBR,24,29,30,22
2024-05,CRB,74436IMP876,IMPOR,78,83,86,69
2024-07,BDG,59118IMP707,IMPOR,66,54,68,63
2025-04,KRW,80952CRK896,CRKIT,55,59,62,53
2024-11,CRB,82359GST211,GST,22,20,22,18
2023-03,CRB,53679OSE186,OSEAL,52,53,58,51
2025-03,KRW,22996PLA669,PLAST,72,89,84,65
2023-02,KRW,37633PSK578,PSKIT,87,69,90,74
2025-10,KRW,61139BRN902,BRNG,84,68,84,74
2024-03,BDG,59507BRA373,BRAKE,32,35,34,26
2025-10,CRB,54344OSE142,OSEAL,127,153,164,163
2023-01,BDG,42468SHO488,SHOCK,49,58,52,46
2025-08,BDG,37188ELE565,ELECT,63,71,75,74
2022-05,CRB,37467MUF588,MUF,42,45,42,37
2023-04,BDG,19756CAB233,CABLE,142,118,147,137
2024-02,BDG,19328SHO609,SHOCK,152,176,192,155
2023-10,BDG,95721CHA647,CHAIN,65,58,69,57
2022-02,CRB,55324RSK983,RSKIT,85,85,93,78
2023-10,KRW,22272DIS279,DISK,71,75,77,60
2024-12,BDG,19368AHM102,AHM,79,61,75,75
2022-12,CRB,14830TIR674,TIRE1,77,58,77,61
2023-11,CRB,39595MUF529,MUF,116,131,121,108
2023-10,CRB,33040GMO589,GMO,216,199,231,178
2022-03,CRB,20118CHA623,CHAIN,72,76,74,72
2022-02,CRB,29195EVC856,EVCH,114,140,145,103
2023-10,BDG,19674CHA831,CHAIN,104,124,124,108
2025-04,CRB,15853TBH539,TBHGP,110,126,113,84
2024-04,BDG,21937SAO123,SAOIL,93,97,89,64
2025-08,CRB,92432SPO757,SPOKE,129,128,116,92
2022-03,KRW,42101CHA279,CHAIN,33,29,35,28
2025-11,BDG,27741BRN621,BRNG,133,131,143,115
2023-06,CRB,35257ACG609,ACG,76,93,89,66
2024-12,BDG,91423OSE694,OSEAL,94,92,92,66
2023-09,KRW,87885OIL630,OIL,145,127,131,101
2024-06,CRB,83142SHO375,SHOCK,109,84,99,71
